1465,-1.310,-1.710,-0.028,1.120,-2.050,-0.033,-2.15,-0.14,-0.43,0.37,0.002,-1733.655,1733.655
1476,-1.310,-1.710,-0.010,0.260,-1.820,0.019,-1.72,0.52,-0.43,0.42,0.002,-1957.981,1957.981
1486,1.190,-1.100,0.037,0.050,-1.260,0.012,-1.37,0.56,-0.44,0.43,0.002,-2140.185,2140.185
1496,-0.530,-1.350,-0.011,1.160,-1.550,-0.001,-1.73,0.97,-0.48,0.47,0.001,-1921.908,1921.908
1506,0.450,-1.550,-0.011,-1.620,-1.590,-0.001,-0.82,1.04,-0.46,0.48,0.002,-2097.659,2097.659
1517,0.450,-1.550,0.017,-1.620,-1.590,0.037,-0.65,0.34,-0.48,0.45,0.002,-2120.096,2120.096
1527,1.970,-1.810,0.056,-1.830,-0.420,0.001,-1.22,0.32,-0.52,0.47,0.002,-2120.096,2120.096
1537,-0.130,-0.220,-0.050,2.250,-2.270,-0.051,-1.94,1.16,-0.56,0.52,0.002,-2101.900,2101.900
1547,-0.950,-1.110,-0.025,1.690,-1.010,-0.004,-1.74,1.20,-0.55,0.53,0.003,-2093.739,2093.739
1557,0.810,-1.830,-0.025,1.690,-1.010,-0.004,-0.94,1.38,-0.53,0.54,0.003,-1976.702,1976.702
1568,0.810,-1.830,0.014,-0.630,-2.900,0.022,-0.35,1.95,-0.52,0.57,0.003,-1976.702,1976.702
1578,0.390,-0.500,0.056,-0.390,-1.530,-0.003,0.19,1.93,-0.51,0.58,0.003,-2126.061,2126.061
1588,0.730,-2.830,-0.033,1.340,-2.330,-0.014,0.56,2.06,-0.50,0.58,0.003,-2126.213,2126.213
1598,3.840,-0.440,-0.033,-0.350,-0.750,-0.014,0.36,3.68,-0.52,0.68,0.008,-2065.540,2065.540
1609,3.840,-0.440,0.034,-0.350,-0.750,0.043,0.23,4.38,-0.51,0.75,0.015,-2083.719,2083.719
1620,-0.040,-0.610,0.025,0.970,-1.920,-0.112,-1.01,2.97,-0.59,0.71,0.022,-2377.048,2377.048
1630,-0.950,0.390,-0.145,1.280,-2.490,-0.133,-2.02,1.85,-0.66,0.67,0.047,-2385.107,2385.107
1640,-1.240,-2.710,-0.106,3.920,-3.300,-0.106,-1.91,1.27,-0.64,0.67,0.091,-2364.883,2364.883
1650,-3.880,-1.860,-0.106,3.920,-3.300,-0.106,-1.77,1.36,-0.64,0.71,0.139,-2273.882,2273.882
1661,-3.880,-1.860,0.000,-0.320,-3.530,0.142,-1.53,0.72,-0.67,0.68,0.127,-2207.110,2207.110
1671,-0.700,-3.070,0.084,-3.160,-2.480,0.057,-2.44,1.19,-0.72,0.73,0.151,-2290.018,2290.018
1681,0.320,-1.410,-0.022,1.400,-1.310,-0.046,-2.46,0.32,-0.74,0.69,0.168,-2411.448,2411.448
1691,-0.800,-1.340,-0.022,1.400,-1.310,-0.046,-2.65,0.06,-0.77,0.69,0.168,-2083.906,2083.906
1702,-0.800,-1.340,-0.087,-0.880,-0.910,-0.164,-2.86,1.39,-0.79,0.77,0.178,-2025.091,2025.091
1713,0.080,-1.670,-0.201,-0.590,-1.820,-0.227,-1.71,2.52,-0.76,0.85,0.185,-1907.834,1907.834
1723,-2.080,-1.880,-0.281,-5.460,-0.800,-0.410,-2.06,1.01,-0.79,0.81,0.186,-1826.937,1826.937
1733,-2.080,-1.880,-0.281,-5.460,-0.800,-0.410,-2.22,0.55,-0.80,0.80,0.186,-2063.293,2063.293
1744,5.380,-1.240,-0.484,-1.470,-2.540,-0.505,-1.51,0.72,-0.76,0.81,0.188,-1895.821,1895.821
1754,-2.810,-1.570,-0.594,1.050,-1.010,-0.599,-0.84,0.58,-0.74,0.82,0.195,-1917.803,1917.803
1764,-1.890,-0.030,-0.594,1.050,-1.010,-0.599,-0.87,0.82,-0.77,0.84,0.212,-1917.803,1917.803
1775,-1.890,-0.030,-0.602,0.100,-1.640,-0.593,-0.95,0.74,-0.80,0.85,0.212,-1956.207,1956.207
1785,-1.700,-0.840,-0.585,-3.260,-0.990,-0.645,-1.30,0.68,-0.85,0.86,0.232,-2012.808,2012.808
1795,-1.140,-0.020,-0.669,-1.870,-0.660,-0.645,-1.04,0.79,-0.86,0.88,0.252,-2073.515,2073.515
1806,-1.140,-0.020,-0.669,-1.870,-0.660,-0.686,-2.05,1.26,-0.94,0.88,0.267,-2073.515,2073.515
1817,3.540,-1.700,-0.708,-1.770,-1.100,-0.721,-1.52,2.46,-0.95,0.93,0.267,-2263.677,2263.677
1827,-6.640,-0.790,-0.700,-4.320,-1.550,-0.797,-1.64,1.90,-0.95,0.93,0.277,-2029.400,2029.400
1837,-2.450,-1.300,-0.777,-2.800,-2.950,-0.797,-2.05,1.28,-0.96,0.93,0.281,-2000.761,2000.761
1847,-2.450,-1.300,-0.777,-2.800,-2.950,-0.773,-1.15,0.87,-0.95,0.93,0.284,-2000.761,2000.761
1858,-3.800,-0.760,-0.811,-5.190,-0.280,-0.912,-0.67,0.88,-0.94,0.93,0.283,-2652.973,2652.973
1868,1.460,0.220,-0.946,3.090,-0.540,-0.950,-0.88,1.25,-0.96,0.98,0.284,-2197.260,2197.260
1878,-0.890,0.200,-0.946,3.090,-0.540,-0.950,-1.50,1.39,-0.99,0.98,0.291,-1631.943,1631.943
1889,-0.890,0.200,-0.933,6.350,-1.170,-0.934,-2.15,0.50,-1.04,0.97,0.299,-2377.048,2377.048
1899,-1.380,-3.770,-0.964,1.970,-0.590,-1.054,-2.73,0.42,-1.08,0.99,0.297,-2148.616,2148.616
1909,-0.740,2.020,-1.030,0.550,-0.180,-1.029,-3.41,0.84,-1.13,0.99,0.297,-2152.418,2152.418
1919,-0.290,-2.340,-1.030,0.550,-0.180,-1.029,-2.80,1.40,-1.13,1.00,0.297,-2152.418,2152.418
